price;title;category_id;base_price;initial_quantity;condition;date_created;city;state;country
75000;Tv Box 4k Hdmi Android --el Más Rápido-- 512/1024 Estándar;MLA352001;75000;11;new;2025-03-14T23:38:21.065Z;Berazategui;Buenos Aires;Argentina
139999;Xiaomi Mi Tv Stick Control De Voz  Xiaomi 4k;MLA352001;139999;17;new;2024-08-21T21:37:30.832Z;Villa Lugano;Capital Federal;Argentina
211974.56;Google Tv + Chromecast Control De Voz 4k 8gb Fuente 220v;MLA352001;211974.56;108;new;2022-03-29T22:40:18.000Z;Martin Coronado;Buenos Aires;Argentina
71502;Smart Tv Onn Uhd Streaming Device 2° Gen 4k Color Negro;MLA352001;71502;46;new;2025-03-18T20:52:05.231Z;Buenos aires;Buenos Aires;Argentina
295969.99;Chromecast Google 4ta Generacion 4k Google Tv Original;MLA352001;295969.99;4;new;2024-07-24T15:24:43.608Z;Ramos Mejía;Buenos Aires;Argentina
74999;|Tv Stick 4k || Convertidor Smart Tv Box Android Tv|;MLA352001;74999;31;new;2024-10-09T03:41:44.352Z;Villa Luro;Capital Federal;Argentina
147000;Google Chromecast 4k Ga03131-us 8gb 1.5gb Ram Blanco;MLA352001;147000;29;new;2024-06-13T19:02:51.491Z;Puerto Esperanza;Misiones;Argentina
143599;Google Chromecast 4 Hd Ga03131 8gb 2gb + Cargador + Control;MLA352001;143599;505;new;2024-07-04T23:47:10.898Z;Escobar;Buenos Aires;Argentina
112952;Xiaomi Mi Tv Stick Mdz-27-eu 4k Uhd Conversor Smart Tv Andro;MLA352001;112952;4;new;2024-09-05T17:33:53.158Z;Rafaela;Santa Fe;Argentina
325000;Google Tv Streamer 4k Netflix Hdr 2024 Androidtv Color Blanc;MLA352001;325000;10;new;2025-03-20T16:33:20.605Z;Rosario;Santa Fe;Argentina
125948;Xiaomi Mi Tv Stick Mdz-24-aa Conversor Smart Tv Andro Ppct;MLA352001;125948;8;new;2024-01-16T14:58:12.000Z;Rafaela;Santa Fe;Argentina
83499;Smart Tv Onn 4k Uhd Streaming Control Remoto Google Tv;MLA352001;83499;132;new;2024-08-03T16:31:47.083Z;Recoleta;Capital Federal;Argentina
140000;Chromecast Google Tv Hd 8gb 2gb Ram Hdmi 4ta Generacion;MLA352001;140000;161;new;2025-03-11T15:19:18.058Z;Núñez;Capital Federal;Argentina
144999;Google Chromecast 4k 4ta Generacion Streaming Control Remoto;MLA352001;144999;10;new;2024-12-27T17:52:27.755Z;San Cristobal;Capital Federal;Argentina
87999;Onn Google Tv Strem Fhd 8gb 1.5gb Ram Control Remoto De Voz;MLA352001;87999;9;new;2024-09-20T20:10:30.861Z;Córdoba;Córdoba;Argentina
263500;Google Tv Streamer 4k Netflix Hdr 2024 Androidtv Color Blanc;MLA352001;263500;15;new;2025-03-20T16:27:24.671Z;Rosario;Santa Fe;Argentina
128283.18;Onn Google Tv 4k Streaming Box Uhd ;MLA352001;128283.18;68;new;2024-08-30T16:19:04.186Z;Parque Chas;Capital Federal;Argentina
143599;Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi;MLA352001;143599;219;new;2024-08-23T18:58:22.444Z;Escobar;Buenos Aires;Argentina
